Drug_ID	Target_ID	Y
drg_9513	5D1J	1.681241237
drg_9634	2B54	1.643452676
drg_9707	2B52	1.662757832
drg_10208	2EUF	1.041392685
drg_10832	1GII	3.698970004
drg_10861	1GIJ	4.397940009
drg_10910	1YKR	2.748188027
drg_10917	1PYE	2.51054501
drg_11104	5M5A	1.477121255
drg_11107	1NVS	2.73239376
drg_11866	1VYW	1.568201724
drg_11872	2BPM	1.041392685
drg_11885	1VYZ	2.462397998
drg_11915	4FKI	1.826074803
drg_11921	4EK6	0.4771212547
drg_12000	6GUC	2.041392685
drg_12069	1Q3W	1.544068044
drg_12341	1UNG	2.176091259
drg_12451	7ZUB	4
drg_12452	1Q41	2.255272505
drg_12460	1UV5	2.505149978
drg_12607	4RLT	2.929418926
drg_12608	4HKK	3.230448921
drg_12609	4HKN	5.477121255
drg_12611	4DES	3.77815125
drg_12612	5AV2	4.342422681
drg_12628	3ARA	2.681241237
drg_12659	1V0P	0.7781512504
drg_12764	3DDQ	2.812913357
drg_12765	3DDQ	2.653212514
drg_12844	1H00	3.954242509
drg_12845	1V1K	3.77815125
drg_12888	1H01	2.903089987
drg_12907	1H08	2
drg_12943	1OIQ	3.462397998
drg_12947	1OIR	1.505149978
drg_12967	1OIT	0.4771212547
drg_12995	1FVT	2.892094603
drg_13070	1FVV	2
drg_13077	1KE5	3.462397998
drg_13079	1KE8	3.579783597
drg_13084	1KE6	1.748188027
drg_13088	1KE7	1.278753601
drg_13794	6S1I	4.298853076
drg_13824	6ZLN	4.2999429
drg_14036	4O7A	1.973127854
drg_14059	1Q4L	1.880813592
drg_14278	1ZXV	3.230448921
drg_14308	4AYK	3.079181246
drg_14337	4WF6	2.113943352
drg_14346	1YQY	1.73239376
drg_14532	4FDH	1
drg_14595	5VOF	2.84509804
drg_14697	1LX6	3.826074803
drg_14701	1LXC	3.380211242
drg_14728	1MFP	2.113943352
drg_14730	3OIG	1.77815125
drg_14753	1I2Z	3.093421685
drg_14802	1I30	2.041392685
drg_15341	2AOX	2.348304863
drg_15385	4QOI	2
drg_15518	1EVE	1.278753601
drg_15963	1UT6	1.951337519
drg_16018	5OH1	3.447158031
drg_16019	2QYO	4.531478917
drg_16085	5EW3	1.505149978
drg_16581	6M7X	1.230448921
drg_16624	1EUP	2.477121255
drg_16625	7P18	2.72427587
drg_16688	1XPZ	2
drg_16691	1XQ0	-0.08618614762
drg_16975	3DEH	2.173186268
drg_16992	3DEI	1.602059991
drg_17060	6TSE	4.698970004
drg_17076	1GFW	1.477121255
drg_17331	1W76	2.621176282
drg_17375	1GPK	2.617000341
drg_17380	3Q1M	4.195899652
drg_17387	4JQJ	4.705007959
drg_17395	1AEG	5.698970004
drg_17490	1HBJ	4.041392685
drg_17502	5IJ6	6
drg_17663	1RE1	3.77815125
drg_17845	1RHM	3.239299479
drg_18194	1S3E	2.826074803
drg_18195	1S3E	2.477121255
drg_18322	7O9Y	5.176091259
drg_18372	3TVX	5.100370545
drg_18559	1YGJ	4.653212514
drg_18560	1YHJ	5
drg_18618	1GPN	4.285557309
drg_19185	1X70	1.255272505
drg_19537	2GZ7	2.477121255
drg_19549	2GZ8	3.477121255
drg_19564	1OM1	2.591064607
drg_19566	5JMS	3.982271233
drg_19568	7QGE	2.698970004
drg_19569	3BQC	2.949390007
drg_19765	1I91	0.06069784035
drg_19766	1I8Z	0.103803721
drg_19768	3ZNC	0.5051499783
drg_19828	4M2W	0.5728716022
drg_19859	1Y91	1.770852012
drg_19873	1Y8Y	3.301029996
drg_19875	2C68	3.255272505
drg_19893	1Y6B	1.579783597
drg_20150	2C6I	4.041392685
drg_20151	2C6T	2.544068044
drg_20152	2C6K	2.86332286
drg_20173	2C69	4.414973348
drg_20177	1G5S	1.681241237
drg_20555	2BUA	4.51851394
drg_20558	2BUC	1.361727836
drg_20559	2BUB	1.954242509
drg_20596	1RWQ	-1
drg_20814	2HHA	2.086359831
drg_20950	2BAG	3.709269961
drg_21153	1VEB	2.550228353
drg_21156	1SVH	2.204119983
drg_21755	1TKT	2.851258349
drg_21758	1TL1	2.579783597
drg_21857	2HOG	-0.5228787453
drg_22605	2C90	5.51851394
drg_22606	2C8Z	5.477121255
drg_22607	2C8Y	5
drg_22608	2C93	4.079181246
drg_22612	4ZPH	4.079181246
drg_23211	1E7V	3.602059991
drg_23542	1TTM	1.342422681
drg_23549	2AW1	4.73239376
drg_23550	3LN1	4.698970004
drg_23553	1NR6	5
drg_23574	1KWR	2.390051496
drg_23575	1KWQ	-0.2076083105
drg_23722	5BVW	-0.3979400087
drg_23909	1A9U	2.462397998
drg_23910	1W7H	6.113943352
drg_23913	1WBW	4.643452676
drg_23917	1W83	1.812913357
drg_23918	1WBN	2.544068044
drg_23919	1W84	4.544068044
drg_23920	7NQM	5.857332496
drg_23923	1WBV	5.209515015
drg_23924	1WBS	2.799340549
drg_23926	1WBT	2.531478917
drg_24066	2F6T	4.62838893
drg_24152	2IIV	0.8195439355
drg_24158	2IIT	0.414973348
drg_24677	2IRW	0.7781512504
drg_24802	2CM8	3.130333768
drg_25195	1LD8	0.5440680444
drg_25196	1LD8	0.2041199827
drg_25200	1LD7	0.04139268516
drg_25242	3TKU	3.174350597
drg_25243	2GNH	2.595496222
drg_25244	1Q8T	4.62324929
drg_25787	2F4J	-0.2218487496
drg_25935	5HE7	1.146128036
drg_26289	2CHM	0.7403626895
drg_26483	2I6A	-0.04575749056
drg_26484	2I6B	1.832508913
drg_26765	2AYP	0.84509804
drg_26791	1O4O	6.544068044
drg_26792	1O4P	6.397940009
drg_26793	1O4Q	6.505149978
drg_26794	1O4R	6.591064607
drg_26795	1O41	5.954242509
drg_26796	1O4D	5.477121255
drg_26797	1O4E	5.698970004
drg_26798	1O4F	5.477121255
drg_26799	1O4G	6.698970004
drg_26800	1O4H	6.556302501
drg_26801	1O4I	6.361727836
drg_26803	1O4J	6.643452676
drg_26804	1O4K	6.079181246
drg_26826	5DEL	2.361727836
drg_26827	1D3H	5.278982117
drg_26852	2YWP	0.84509804
drg_27033	1XOR	5.301029996
drg_27034	1XMY	5.301029996
drg_27035	1XLZ	5.278753601
drg_27036	1XM6	5.301029996
drg_27037	1XLX	4.939519253
drg_27039	1XM4	4.832508913
drg_27042	1UDU	4.698970004
drg_27143	5FPN	5.301029996
drg_27144	1Y2B	4.77815125
drg_27147	5QYF	5.301029996
drg_27150	1Y2C	2.491361694
drg_27159	1Y2D	3.770852012
drg_27161	1Y2E	2.544068044
drg_27162	1Y2H	1.748188027
drg_27163	1Y2J	1.51851394
drg_27185	2BR1	4.187520721
drg_27186	2BRB	4.320146286
drg_27187	2BRG	3.785329835
drg_27188	2BRH	4.359835482
drg_27189	2BRM	3.361727836
drg_27190	2BRN	3.740362689
drg_27191	2BRO	3.146128036
drg_27218	2CGU	4.127104798
drg_27221	2CGV	4.436162647
drg_27527	2P2H	3.698970004
drg_27534	2F7X	1.146128036
drg_27589	2F7Z	2.278753601
drg_27590	2F7E	0.1139433523
drg_27820	7QZT	3.591064607
drg_27822	1YDS	3.880813592
drg_27823	3FMD	2.770852012
drg_27828	2C1B	3.230448921
drg_27842	5DGZ	-0.3010299957
drg_27900	3HHM	0.6232492904
drg_27906	1BL6	2.204119983
drg_27907	1BMK	1.397940009
drg_27908	3ERK	1.278753601
drg_27934	2E9P	1.342422681
drg_27935	2E9U	1
drg_27984	1TLM	2.447158031
drg_28064	1RKP	2.383815366
drg_28079	2FPV	1.643452676
drg_28134	1U0Z	2.176091259
drg_28135	2BRC	2.447158031
drg_28138	2ZDX	3.643452676
drg_28145	2BSM	1.397940009
drg_28147	1UYM	5.301029996
drg_28148	1UY7	5.301029996
drg_28149	1UY8	4.875061263
drg_28150	1UY9	4.184691431
drg_28151	1UYC	4.612783857
drg_28152	1UYD	5.301029996
drg_28153	1UYE	5.301029996
drg_28154	1UYF	4.477121255
drg_28155	1UYG	4.728353782
drg_28156	1UYH	4.155336037
drg_28157	1UYI	3.612783857
drg_28158	1UYK	4.23299611
drg_28168	2BYH	2.411619706
drg_28185	2YE9	2.77815125
drg_28191	1ZZL	0.6989700043
drg_28242	2OGZ	1.924279286
drg_28569	4U0J	4.027757205
drg_28572	4TRJ	2.949390007
drg_28590	4U0K	2.986771734
drg_28595	4TZT	4.36398783
drg_28598	4TZK	2.591064607
drg_28675	2BAQ	2.84509804
drg_28698	7WPM	6.301029996
drg_28700	2OHP	4.973127854
drg_28701	2OHQ	4.397940009
drg_28702	2OHM	5.491361694
drg_28703	2OHR	5
drg_28704	2OHS	4.602059991
drg_28706	2OHT	3.959041392
drg_28713	2OF0	6
drg_28828	2G01	3.086359831
drg_28884	2H96	2.361727836
drg_28915	2GMX	1.886490725
drg_29066	1PMU	2.770852012
drg_29067	2ZMD	2.176091259
drg_29214	5Y1J	2.127104798
drg_29398	2UW3	4.903089987
drg_29400	2UW4	3.716003344
drg_29405	2UW5	1.491361694
drg_29406	2UW9	1.255272505
drg_29407	2UW5	1.531478917
drg_29408	2UW6	2.447158031
drg_29411	5RT7	5
drg_29412	2UVY	3.838849091
drg_29416	2UVZ	2.602059991
drg_29420	2UW0	1.301029996
drg_29428	2IKG	2.72427587
drg_29429	2IKH	3.612783857
drg_29432	2NVD	2.146128036
drg_29487	2ONC	1.113943352
drg_29500	3G0B	1
drg_29523	5I7S	3.301029996
drg_29525	2B36	1.230448921
drg_29599	2UW8	4.886490725
drg_29756	4GA8	2.146128036
drg_29757	3MB9	0.6020599913
drg_29763	1Z8A	-0.07572071394
drg_29775	1Z3N	0.6989700043
drg_29802	1ZUA	1.113943352
drg_29804	1IEI	0.903089987
drg_29849	2DCD	1.462397998
drg_29857	1ITO	1.602059991
drg_29898	2UZT	1.146128036
drg_29920	2UZW	0.6989700043
drg_29977	2C3K	1.62324929
drg_29978	2C3L	3.799064719
drg_29998	1XUR	3.819543936
drg_30000	1XUC	1.857332496
drg_30001	1XUD	0.903089987
drg_30332	2QU2	3.568201724
drg_30382	2OH0	0.1760912591
drg_30721	2PE0	1.903089987
drg_30756	1PKD	0.6989700043
drg_30758	2J2I	2.875061263
drg_30934	2UZD	2.255272505
drg_30936	2UZE	4.672097858
drg_30937	2UZB	2.079181246
drg_30942	2UZL	2.785329835
drg_30944	2UZN	1.477121255
drg_30945	2UZO	4.431363764
drg_31191	1ZQ5	0.5051499783
drg_31249	2OPH	1.204119983
drg_31478	1YW7	3.146128036
drg_31479	1YW8	1
drg_31573	1YW9	1.278753601
drg_31590	1R5G	1.342422681
drg_31605	2GA2	3.959041392
drg_31621	2EA2	1.204119983
drg_31635	2EA4	1.662757832
drg_31740	2OF4	3.414973348
drg_31742	2OF2	2.556302501
drg_31900	2I1M	1.380211242
drg_31901	2I0V	2.204119983
drg_31935	3DP8	4.301029996
drg_32071	2NQ6	3.176091259
drg_32072	2NQ7	3.462397998
drg_32081	2GG2	2.397940009
drg_32082	2GG5	2.397940009
drg_32095	1QXZ	4.278753601
drg_32096	1QXY	4.204119983
drg_32097	1QXW	3.84509804
drg_32221	2G1S	1.977723605
drg_32223	2G1Y	1.954242509
drg_32229	2I4Q	0.84509804
drg_32279	2IKU	1.763427994
drg_32280	2G1O	2.238046103
drg_32287	1AOE	0.6020599913
drg_32288	1IA1	1.531478917
drg_32289	1IA2	1.361727836
drg_32290	1IA3	0.903089987
drg_32291	1IA4	2.113943352
drg_32320	3JW5	4.888179494
drg_32326	3FRF	0.84509804
drg_32516	1DLR	1.113943352
drg_32530	3NZ9	0.8129133566
drg_32825	2V3E	2.819543936
drg_32978	3JWM	3.698970004
drg_33009	1KLK	4.2219356
drg_33016	3UM5	6
drg_33030	4OLM	2.10720997
drg_33125	3MNP	0.1461280357
drg_33449	7FGY	3.356025857
drg_33450	2BLB	3.260071388
drg_33452	7XI7	2.361727836
drg_33474	3UM8	1.568201724
drg_33475	1J3K	-0.2441251443
drg_33573	2PIN	4.44870632
drg_34067	2R7B	1.77815125
drg_34168	5WGI	1.908485019
drg_34225	7SGG	2.292256071
drg_34315	6W9K	1.139879086
drg_34462	1MEI	1.204119983
drg_34625	4LY1	1.602059991
drg_34649	3HVC	2.77815125
drg_34697	4JVL	0.07918124605
drg_34698	1X7J	3.058805487
drg_34700	7DQM	4.859150311
drg_35549	1U9V	0.7781512504
drg_36074	6MNE	1.462397998
drg_36204	1UPV	1
drg_37261	1A27	2.755874856
drg_37262	3ERD	1.079181246
drg_37268	1GWQ	3.149219113
drg_37308	2RG5	0.4913616938
drg_37316	2RG6	0.3424226808
drg_37494	3BM9	2.278753601
drg_37495	1U3Q	4.181843588
drg_37501	3BMY	1.477121255
drg_37678	2UWD	1.447158031
drg_37682	5NYI	1.322219295
drg_37705	6LTI	1.322219295
drg_38901	1PY5	1.770852012
drg_39075	2VD0	4.064457989
drg_39076	5RSZ	5.949390007
drg_39085	2VD1	2.139879086
drg_39086	2VCX	1.322219295
drg_39087	2VCQ	2.963787827
drg_39205	2AI7	2.204119983
drg_39206	2AIA	3.06069784
drg_39207	2AIE	3.447158031
drg_39656	1QHI	3.113943352
drg_40418	3GCL	2.544068044
drg_40427	5KIR	5
drg_40871	2OYE	4.770852012
drg_40872	2OYU	2.544068044
drg_41839	3ADS	1.698970004
drg_41860	3R6I	1.602059991
drg_41911	7ER3	4.662757832
drg_42370	2IMA	2.612783857
drg_42392	2ILP	4.176091259
drg_42497	3OYF	1.643452676
drg_42590	1ZXC	0.9242792861
drg_42601	2PJT	0.2041199827
drg_42821	3IL5	3.204119983
drg_43828	2FL6	1.579783597
drg_43830	2FKY	0.414973348
drg_43836	2FL2	0.3010299957
drg_43850	1YRS	2.653212514
drg_43858	2G1Q	1.643452676
drg_43888	2Q2Z	0.3010299957
drg_43890	2Q2Y	0.2041199827
drg_43915	2FME	2.017033339
drg_43916	2FME	2.485721426
drg_43940	2PG2	3.230448921
drg_43958	2UYI	2.681241237
drg_44027	6ENC	1.041392685
drg_44049	3CHO	2.447158031
drg_44058	3CHP	3.73239376
drg_44062	3CHQ	1.301029996
drg_44069	3CHR	1.785329835
drg_44290	2GM9	1.612783857
drg_44299	2IEG	2.130333768
drg_44304	2IEI	2.08278537
drg_44327	3I65	1.672097858
drg_44340	3I68	1.748188027
drg_44382	3CCN	2.079181246
drg_44385	3CD8	0.9542425094
drg_44669	4B2I	5.267171728
drg_44670	6TTF	5.079181246
drg_44673	2VTJ	3.278753601
drg_44674	2VTR	3.176091259
drg_44675	2VTS	1.477121255
drg_44677	2VTI	2.819543936
drg_44678	2VTL	4.986771734
drg_44679	2W1D	4.397940009
drg_44681	2VTN	2.929418926
drg_44686	2VTO	2.146128036
drg_44687	5HQ0	0.4771212547
drg_44692	2VTQ	2.146128036
drg_44693	2VTT	1.643452676
drg_44697	7AGA	1.672097858
drg_44708	5PHE	4.681241237
drg_44723	4WPD	5.089905111
drg_44866	3EFL	0.3010299957
drg_44880	6BV6	3
drg_44881	6RVH	3.041392685
drg_44883	2D0E	5.829303773
drg_44946	3CQU	2.178976947
drg_44950	3CQW	1.62324929
drg_45281	5WIK	1.491361694
drg_45291	3LS8	0.903089987
drg_45318	6GN1	-0.5228787453
drg_45327	2X6K	0.5563025008
drg_45617	5EEN	1.255272505
drg_45832	2ZAZ	1.397940009
drg_45839	5J79	0.4771212547
drg_45844	2VWV	4.204119983
drg_45847	2VWW	2.380211242
drg_45865	2VWX	1.602059991
drg_45868	2VWY	1.954242509
drg_45871	2VX0	2.763427994
drg_46075	2OP0	2.84509804
drg_46302	7MLK	3.041392685
drg_46350	3C4C	2.204119983
drg_46425	2VGP	2.146128036
drg_46475	5AI5	1.278753601
drg_46480	1E79	2.462397998
drg_46488	5AM3	5
drg_46490	6AUM	4.08278537
drg_46590	2NSD	3.712649702
drg_46594	1P44	2.301029996
drg_46620	3EEJ	0.2552725051
drg_46622	3F0Q	0.3222192947
drg_46624	3FQV	1.278753601
drg_46628	3EEJ	0.04139268516
drg_47228	2ZB1	3.477121255
drg_47446	3UMQ	7
drg_47447	2WA4	4.447158031
drg_47450	4NRQ	3.146128036
drg_47452	6F4L	6.698970004
drg_47453	5US6	5.079181246
drg_47476	3FKV	2.176091259
drg_47479	6CHA	3.113943352
drg_47677	3LJ2	0.6989700043
drg_48318	3CJF	0.7993405495
drg_48347	3EXO	4.380211242
drg_48424	3E0B	2.949390007
drg_48425	3QLZ	3.740362689
drg_48426	3JWC	2.974050903
drg_48720	4HMH	3.655138435
drg_48721	4FJ0	3.662757832
drg_48729	8A0R	5.029383778
drg_48735	2OBJ	1.698970004
drg_49690	2W1F	0.7708520116
drg_49694	2W1E	1.079181246
drg_49725	2W1G	3.230448921
drg_49936	1YOM	0.6020599913
drg_49937	3DOG	1.86332286
drg_50133	4F9B	1
drg_50159	3DU8	0.4771212547
drg_50169	3DU8	0.3010299957
drg_50358	3UH2	1.278753601
drg_50359	2PAX	1.342422681
drg_50361	5XHK	1.929418926
drg_50363	4TK0	2.57054294
drg_50366	4PNS	3.929980591
drg_50367	5N3Q	4.109983295
drg_50368	5N3H	4.700002397
drg_50409	3C49	0.84509804
drg_50442	7AAD	0.6989700043
drg_50454	2JLE	1.698970004
drg_50633	1PAX	2.204119983
drg_50660	1UK0	1.204119983
drg_50666	1UK1	1.77815125
drg_50672	1WOK	1.51851394
drg_51076	7DHI	2.991226076
drg_51208	2ZM3	3.383815366
drg_51397	2I40	-0.09691001301
drg_51601	3FRJ	1.146128036
drg_51619	3F2A	1.755874856
drg_51622	2XJ1	1.113943352
drg_51647	2XJ1	1.278753601
drg_51743	1ZTQ	1.146128036
drg_52007	3DY6	2.100370545
drg_52340	3KDT	2.414973348
drg_52373	3I6R	2.447158031
drg_52637	5V8P	3.681241237
drg_52754	2HU6	5.173186268
drg_52768	3F1Q	4.409933123
drg_52769	3G0X	5.349471799
drg_52772	3G0U	3.934498451
drg_52777	3FJ6	5.217483944
drg_52782	3FJL	5.261024834
drg_53007	1O5W	0.6532125138
drg_53164	3G5M	4.733197265
drg_53165	3NHU	4.033423755
drg_53166	3NHJ	3.792391689
drg_53168	3NHW	4.260071388
drg_53169	3NHY	4.382017043
drg_53172	3NHL	3.968482949
drg_53174	3NFR	3.278753601
drg_53175	3NHS	4.033423755
drg_53176	3GAM	3.612783857
drg_53177	3NHP	4
drg_53178	3NHK	3.84509804
drg_53179	3NHF	3.77815125
drg_53180	3NHR	4.033423755
drg_53184	6JEM	2.982271233
drg_53544	3DA9	4.255272505
drg_53974	2P7G	1.117271296
drg_53976	2ZAS	1.1430148
drg_53979	7VGY	3.041392685
drg_53980	4A6E	3.995635195
drg_53981	7WB7	4.731588765
drg_54013	5ER4	3.852479994
drg_54014	7JVQ	3.991669007
drg_54119	3DV1	2.770852012
drg_54894	2JBP	0.9294189257
drg_54901	3FXW	2.100370545
drg_54995	2PZY	1.531478917
drg_55085	830C	-0.5228787453
drg_55271	3D28	3.146128036
drg_55372	3BSC	4.51851394
drg_55895	4YJ3	4.397940009
drg_56042	3CUK	0.9542425094
drg_56043	3G3E	0.6020599913
drg_56443	7DFP	4.698970004
drg_56766	3E9S	2.748188027
drg_56767	7JRN	3.421603927
drg_56788	2WIH	1.653212514
drg_56834	3F7Z	1.812913357
drg_56899	3HRB	1.322219295
drg_56917	3HMV	1.698970004
drg_57099	6KB5	4.482873584
drg_57177	4WMZ	4.903089987
drg_57358	4LL0	3.806179974
drg_57419	7FBQ	4.230448921
drg_57443	2OLI	5.146128036
drg_57444	2A7P	5.342422681
drg_57486	1N5R	4.509202522
drg_57524	2GLP	4.599883072
drg_57533	3DOY	3.181843588
drg_57534	3DP2	3.176091259
drg_57535	3DOZ	3.29666519
drg_57537	3DP0	3.152288344
drg_57538	3DP1	3.996511672
drg_57541	3DP3	3.181843588
drg_57715	5R4J	4.698970004
drg_57724	6N2W	3.418831404
drg_57726	3R2A	3.523655437
drg_57731	3KQP	4.581026413
drg_57779	4MG8	3.422622665
drg_57803	2F2T	4.698970004
drg_57817	5RUH	4.698970004
drg_57850	3R49	4.698970004
drg_57894	3KCX	4.698970004
drg_57909	3VH9	4.698970004
drg_57918	5N3P	4.698970004
drg_58259	3I7G	2.633468456
drg_58286	3H9O	1.84509804
drg_58324	3FV8	2.204119983
drg_58428	3CH6	-1
drg_58479	3CZR	0.4771212547
drg_58480	3CZR	1.462397998
drg_58632	4RLL	3.633468456
drg_58639	2W6M	4.33243846
drg_58641	2W6N	2.096910013
drg_58643	2W6O	4.783903579
drg_58644	2W6P	2.522444234
drg_58646	2W70	4.079181246
drg_58647	2W71	2.523746467
drg_58651	2W6Q	4.404833717
drg_58652	2W6Z	6.176091259
drg_58766	3HCE	4.698970004
drg_58957	5QPR	4.698970004
drg_59312	2WMR	4.716003344
drg_59315	2WMU	4.62324929
drg_59317	2YM3	3.079181246
drg_59318	2WMW	2.591064607
drg_59320	2WMX	2.949390007
drg_59322	2WMX	2.934498451
drg_59332	2YE6	6.602059991
drg_59333	2YE2	5.69019608
drg_59334	2YE4	5.755874856
drg_59335	2WI2	5.544068044
drg_59336	2WI1	6.602059991
drg_59346	2WI6	2.361727836
drg_59347	3PEH	1.748188027
drg_59350	2WI7	1.763427994
drg_59570	3IA6	1.380211242
drg_59571	3IA6	1.531478917
drg_59574	1FM6	2.437750563
drg_59721	3K47	4.698970004
drg_59722	3GYF	5.301029996
drg_59724	3NXO	5.046885191
drg_59837	4E5F	2.130333768
drg_59838	3V1R	2.819543936
drg_59844	3HYF	3.161368002
drg_60573	2I5J	2.698970004
drg_60617	3IW4	0.3222192947
drg_60785	4A9R	2
drg_60794	3F9M	4.64246452
drg_61001	1CQP	5
drg_61076	6HDR	4.014478525
drg_62063	6YTA	2.079181246
drg_62298	3EZV	0.7143297597
drg_62306	3EZR	1.367355921
drg_62444	3HPT	1.079181246
drg_62556	1LWO	2.963787827
drg_62687	7NNB	4.698970004
drg_62783	7N54	4.698970004
drg_62904	3JSX	3.039414119
drg_62947	3HVO	1.301029996
drg_63095	2ZB2	2.954242509
drg_63704	4G77	4.762678564
drg_63708	4OGH	4.51851394
drg_63772	2WOU	1.857332496
drg_63930	6TA3	1.556302501
drg_63984	7M74	2.170555059
drg_63985	6UNS	1.609594409
drg_64018	1PXN	4
drg_64058	3E7I	1
drg_64061	3E6O	1.491361694
drg_64064	3E7T	1.544068044
drg_64073	3E67	2.079181246
drg_64076	3E6N	1.176091259
drg_64079	3E68	2.079181246
drg_64082	3E7M	2.544068044
drg_64085	3E6L	2.857332496
drg_64091	3EAI	1.86923172
drg_64094	3EBD	1.602059991
drg_64100	3EBF	2.602059991
drg_64103	3EN5	1.230448921
drg_64117	4JT5	3.301029996
drg_64164	6OHP	2.342422681
drg_64332	3FCI	3.113943352
drg_64333	3FCK	5
drg_64455	6R37	5.698970004
drg_64456	3N1V	5.698970004
drg_64457	4DDH	5.698970004
drg_64458	3N45	5.698970004
drg_64461	3N49	3.84509804
drg_64462	3N46	4.698970004
drg_64463	3N5H	3.301029996
drg_64464	3N5J	3.77815125
drg_64465	3N6K	2.301029996
drg_64506	3BL7	0.8819549713
drg_64508	3BL9	1.642860053
drg_64701	1A8T	3.278753601
drg_65217	5FM2	0.6989700043
drg_69590	1CF0	4.824125834
drg_69593	2BXC	3.72427587
drg_69749	4CWF	4.824125834
drg_69813	5R93	4.824125834
drg_70404	5R8W	4.775537635
drg_70417	5LCT	3.82223348
drg_70974	7ERE	2.731669332
drg_72308	1SA1	1.908485019
drg_72313	4Q5V	2.666517981
drg_72383	4Z2E	4.995635195
drg_73682	4K9I	4.29841638
drg_73685	5PB7	4.111598525
drg_73687	5E9L	4.29841638
drg_73726	2W0B	4.312811826
drg_73736	2W0A	3.361916619
drg_73817	4A85	4.329804522
drg_73941	4HWK	4.698970004
drg_73950	5G48	4.698970004
drg_73951	3H5G	4.698970004
drg_73954	7LAD	4.698970004
drg_73961	2ACK	4.698970004
drg_74778	1L7X	1.653212514
drg_75036	6DRZ	4.698970004
drg_75372	6CI6	4.698970004
drg_76787	5SJK	3.531606632
drg_77171	5S2T	4.698970004
drg_78303	5TSV	3.689308859
drg_78407	3O5N	4.957128198
drg_78492	5TSO	4.62324929
drg_79288	7T8X	4.544068044
drg_80588	7LUJ	4.698970004
drg_81362	3NY9	2.991226076
drg_81366	1IYL	0
drg_85037	1MDL	5
drg_85038	1MDL	5
drg_88591	5Q1R	4.029789471
drg_89988	5S8G	4.084397519
drg_90679	5X7Z	4.137482925
drg_90695	5FZ9	4.698970004
drg_91105	2XYA	4.806179974
drg_91160	5RWN	4.806179974
drg_91175	5TLQ	4.806179974
drg_93260	3M0W	3.576718619
drg_100661	1AZ1	4
drg_100779	7D76	5
drg_100899	3ILU	5
drg_100943	7FKX	5
drg_101314	5BPP	4.909556029
drg_101398	5BWZ	4.634275695
drg_101403	1IHI	3.414973348
drg_101484	4YCY	3.868056362
drg_101520	6AN1	4.874713689
drg_102293	7MET	4.204526943
drg_102310	102L	4.16678522
drg_102313	2P6F	3.67182056
drg_102370	6LLC	3.941063988
drg_105612	7BTS	3.479287316
drg_105613	7PIM	3.296445794
drg_105655	2BUV	2.68069803
drg_105670	5J7Q	3.407560849
drg_111235	6LN1	2.301029996
drg_111437	1PXJ	3.812913357
drg_111439	2C5V	2.462397998
drg_111441	2C5N	2.342422681
drg_111443	1PXO	1
drg_111475	6HD6	2.57054294
drg_111477	6UD7	0.84509804
drg_113292	5I7O	3
drg_113659	6LG4	3.835056102
drg_113942	1GSE	5
drg_113946	5Q1J	3.792391689
drg_114621	5QPX	5
drg_117005	4RA3	2.745074792
drg_117069	6V9F	3.888179494
drg_122366	5Y4Q	4.532015067
drg_122961	5PZQ	4.553907288
drg_122995	8DYC	4.414036936
drg_123301	3RDQ	2.173535895
