ids	Ligand	Target	Y
4EIP	O=C1NCc2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4EIP.pdb	4.397940009
1XWS	CN(C)CCCn1cc(C2=C(C(=O)NC2=O)c2c[nH]c3ccccc23)c2ccccc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1XWS.pdb	5
1UU9	NCCCn1cc(C2=C(C(=O)NC2=O)c2c[nH]c3ccccc23)c2ccccc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1UU9.pdb	1.414973348
1UU7	CN1CCCC1CCn1cc(C2=C(C(=O)NC2=O)c2c[nH]c3ccccc23)c2ccccc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1UU7.pdb	1.113943352
2VD5	Cn1cc(C2=C(C(=O)NC2=O)c2cn(CCCN)c3ccccc23)c2ccccc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2VD5.pdb	1.875061263
1EET	CCC(=O)c1ccc(F)c([C@H]2C[C@H]2NC(=O)Nc2ccc(Br)cn2)c1O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1EET.pdb	0.579783597
1EET	CCC(=O)c1ccc(F)c([C@@H]2C[C@@H]2NC(=O)Nc2ccc(Br)cn2)c1O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1EET.pdb	0.681241237
2IC3	COc1ccc2NC(=S)[C@H](CSC)N(C(=O)OC(C)C)c2c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2IC3.pdb	0.903089987
2OPQ	CC[C@@H]1N(C(=O)OC(C)C)c2cc(F)ccc2NC1=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2OPQ.pdb	2.252853031
5XGN	Cn1c2ccccc2c2c3C(=O)NCc3c3c4ccccc4n(CCC#N)c3c12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/5XGN.pdb	3.763427994
2FO0	Cn1c2nc(Nc3cccc(CO)c3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2FO0.pdb	2.322219295
2V7O	Cn1cc(C2=C(C(=O)NC2=O)c2cn(CCCSC(N)=N)c3ccccc23)c2ccccc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2V7O.pdb	1
4F7S	C(Cc1ccccc1)Nc1ncnc2ccccc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4F7S.pdb	3.612783857
6T41	Clc1ccc(CNc2ncnc3ccccc23)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/6T41.pdb	3.84509804
2V58	Nc1ncc2cc(c(N)nc2n1)-c1c(Br)cccc1Br	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2V58.pdb	4.698970004
4FEX	COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4FEX.pdb	-0.508638306
6X83	C(c1ccccc1)n1cnc2ccccc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/6X83.pdb	4.698970004
6QS5	NC(=O)C(=C\c1ccc(O)c(O)c1)\C#N	/home/ahr/Desktop/bindingDB_IC50_v2/structures/6QS5.pdb	4
3PHY	OC(=O)\C=C\c1ccc(O)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/3PHY.pdb	6.477121255
3HOF	OC(=O)\C=C\c1ccc(O)c(O)c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/3HOF.pdb	6.079181246
3LOK	Brc1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/3LOK.pdb	0.301029996
2QQ7	CN(C)C\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2QQ7.pdb	1.041392685
3NYV	COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC	/home/ahr/Desktop/bindingDB_IC50_v2/structures/3NYV.pdb	2.301029996
6RFH	NS(=O)(=O)c1ccc(cc1)C(O)=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/6RFH.pdb	6.397940009
4JLC	Cc1[nH]c(\C=C2/C(=O)Nc3ccccc23)c(C)c1CCC(O)=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4JLC.pdb	3.380211242
6NG0	CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C	/home/ahr/Desktop/bindingDB_IC50_v2/structures/6NG0.pdb	1.903089987
4NZW	CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(Cl)cc23)c1C	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4NZW.pdb	1.431363764
6M13	Cc1[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c(C)c1C(=O)NCCN1CCCC1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/6M13.pdb	1.77815125
2X2M	Cc1cc(C)c(\C=C2/C(=O)Nc3ccccc23)[nH]1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2X2M.pdb	5
1FGI	Cc1c[nH]c(\C=C2/C(=O)Nc3ccccc23)c1CCC(O)=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1FGI.pdb	1.301029996
1A4Q	CCCN(CCc1ccccc1)C(=O)[C@@H]1OC(=C[C@H](N)[C@H]1NC(C)=O)C(O)=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1A4Q.pdb	0.301029996
4QN7	CCC(CC)O[C@@H]1C=C(C[C@H](N)[C@H]1NC(C)=O)C(O)=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4QN7.pdb	0
7X4H	Nc1[nH]nc(C(=Cc2c[nH]c3ccccc23)C#N)c1C#N	/home/ahr/Desktop/bindingDB_IC50_v2/structures/7X4H.pdb	5
1B9S	CCC(CC)C(=O)Nc1cc(ccc1NC(C)=O)C(O)=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1B9S.pdb	4.431363764
1IVE	CC(=O)Nc1ccc(cc1N)C(O)=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1IVE.pdb	7
2ITO	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2ITO.pdb	0
1E1V	Nc1nc(OCC2CCCCC2)c2[nH]cnc2n1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1E1V.pdb	3.84509804
3KZZ	Nc1nc(OCc2ccccc2)c2[nH]cnc2n1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/3KZZ.pdb	4.380211242
1H1Q	C(Oc1nc(Nc2ccccc2)nc2nc[nH]c12)C1CCCCC1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1H1Q.pdb	3.204119983
1H1R	Clc1cccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1H1R.pdb	3.342422681
1OI9	Oc1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1OI9.pdb	1.973127854
1H1S	NS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1H1S.pdb	0.977723605
1OIU	NS(=O)(=O)c1cccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1OIU.pdb	2.380211242
1OIY	NC(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1OIY.pdb	1.826074803
1E1X	Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1E1X.pdb	3.462397998
2B55	NCC1CCN(CC(=O)Nc2cccc3-c4n[nH]c(C5CCCCC5)c4C(=O)c23)CC1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2B55.pdb	2.556302501
1C8K	CN1CC[C@@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1C8K.pdb	1.477121255
1W0X	Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1W0X.pdb	3.84509804
1Y6A	CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(o2)-c2cccc(c2)-c2ccccn2)c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1Y6A.pdb	1.342422681
5D1J	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/5D1J.pdb	1.681241237
2B54	CCc1nn(-c2c(Cl)cc(Cl)cc2Cl)c2nc(Cc3ccc(O)c(O)c3)[nH]c(=O)c12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2B54.pdb	1.643452676
2B52	CN1CCN(CC1)NC(=O)Nc1cccc2-c3n[nH]c(-c4sc(C)nc4C)c3C(=O)c12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2B52.pdb	1.662757832
2EUF	CC(=O)c1c(C)c2cnc(Nc3ccc(cn3)N3CCNCC3)nc2n(C2CCCC2)c1=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2EUF.pdb	1.041392685
1GII	O=C(Nc1ccccn1)Nc1cccc2C(=O)N3CCC[C@@H]3c12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1GII.pdb	3.698970004
1GIJ	O=C(Nc1cc(n[nH]1)[C@@H]1CCCN1)Nc1cccc2C(=O)N3CCC[C@H]3c12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1GIJ.pdb	4.397940009
1YKR	NS(=O)(=O)c1ccc(Nc2cn3cc(ccc3n2)C(=O)c2c(Cl)cccc2Cl)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1YKR.pdb	2.748188027
1PYE	Nc1nc2ccc(cn2c1C(=O)c1ccccc1)C(=O)c1c(F)cccc1F	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1PYE.pdb	2.51054501
5M5A	COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13	/home/ahr/Desktop/bindingDB_IC50_v2/structures/5M5A.pdb	1.477121255
1NVS	O=C1NC(=O)c2c1c1c3ccccc3n3C4CCC(O4)n4c5ccccc5c2c4c13	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1NVS.pdb	2.73239376
1VYW	O=C(Cc1ccc2ccccc2c1)Nc1cc(n[nH]1)C1CC1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1VYW.pdb	1.568201724
2BPM	CC(C(=O)Nc1cc(n[nH]1)C1CC1)c1ccc(cc1)-n1cc[nH]c1=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2BPM.pdb	1.041392685
1VYZ	O=C(Nc1cc(n[nH]1)C1CC1)c1ccccc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1VYZ.pdb	2.462397998
4FKI	FC(F)(F)Oc1ccc(CC(=O)Nc2cc(n[nH]2)C2CC2)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4FKI.pdb	1.826074803
4EK6	O=C(Cc1ccc(cc1)-c1cccs1)Nc1cc(n[nH]1)C1CC1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4EK6.pdb	0.477121255
6GUC	COc1ccc2NC(=O)C(=Cc3cnc[nH]3)c2c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/6GUC.pdb	2.041392685
1Q3W	[O-][N+](=O)c1ccc2[nH]c-3c(CC(=O)Nc4ccccc-34)c2c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1Q3W.pdb	1.544068044
1UNG	CCCCc1c([nH]c2nccnc12)-c1ccc(O)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1UNG.pdb	2.176091259
7ZUB	O=C1Nc2ccccc2\C1=C1\Nc2ccccc2C1=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/7ZUB.pdb	4
1Q41	O=Nc1c([nH]c2ccccc12)C1C(=O)Nc2ccccc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1Q41.pdb	2.255272505
1UV5	Brc1ccc2C(C(=O)Nc2c1)c1[nH]c2ccccc2c1N=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1UV5.pdb	2.505149978
4RLT	Oc1ccc2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4RLT.pdb	2.929418926
4HKK	Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4HKK.pdb	3.230448921
4HKN	Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4HKN.pdb	5.477121255
4DES	Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccccc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4DES.pdb	3.77815125
5AV2	Oc1ccc(cc1)-c1oc2cc(O)cc(O)c2c(=O)c1O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/5AV2.pdb	4.342422681
3ARA	OC(C1CCCN1S(=O)(=O)CCCn1ccc(=O)[nH]c1=O)(c1ccccc1)c1ccccc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/3ARA.pdb	2.681241237
1V0P	CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(O)=O)c(Cl)c2)c2ncn(C(C)C)c2n1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1V0P.pdb	0.77815125
3DDQ	CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/3DDQ.pdb	2.812913357
3DDQ	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/3DDQ.pdb	2.653212514
1H00	CN(C)CC(O)COc1ccc(Nc2cc(Nc3c(F)cccc3F)ncn2)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1H00.pdb	3.954242509
1V1K	CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(ccc3F)C(F)(F)F)ncn2)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1V1K.pdb	3.77815125
1H01	CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1H01.pdb	2.903089987
1H08	CN(C)CC(O)COc1ccc(Nc2ncc(Br)c(Nc3ccccc3)n2)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1H08.pdb	2
1OIQ	CC(=O)Nc1nccc(n1)-c1c(C)nc2ccccn12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1OIQ.pdb	3.462397998
1OIR	CN(C)CC(O)COc1ccc(Nc2nccc(n2)-c2c(C)nc3ccccn23)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1OIR.pdb	1.505149978
1OIT	NS(=O)(=O)c1ccc(Nc2nccc(n2)-c2cnc3ccccn23)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1OIT.pdb	0.477121255
1FVT	NS(=O)(=O)c1ccc(NN=C2C(=O)Nc3ccc(Br)cc23)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1FVT.pdb	2.892094603
1FVV	O=C1Nc2ccc3ncsc3c2C1C=Nc1ccc(cc1)S(=O)(=O)Nc1ccccn1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1FVV.pdb	2
1KE5	CNS(=O)(=O)c1ccc(cc1)N=CC1C(=O)Nc2ccccc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1KE5.pdb	3.462397998
1KE8	O=C1Nc2ccccc2C1C=Nc1ccc(cc1)S(=O)(=O)Nc1nccs1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1KE8.pdb	3.579783597
1KE6	CNS(=O)(=O)Cc1ccc(NN=C2C(=O)Nc3ccc4ncsc4c23)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1KE6.pdb	1.748188027
1KE7	O=C1Nc2ccc(cc2C1C=Nc1ccc2CS(=O)(=O)Cc2c1)-c1cnco1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1KE7.pdb	1.278753601
6S1I	CN(c1ccccc1)c1nccc(n1)-c1cnn2ncccc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/6S1I.pdb	4.298853076
6ZLN	CCOc1ccc2c(cnn2n1)-c1ccnc(Nc2cc(OC)cc(c2)C(F)(F)F)n1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/6ZLN.pdb	4.2999429
4O7A	Oc1ccc(NC2=C(C(=O)NC2=O)c2cccc(Cl)c2)cc1Cl	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4O7A.pdb	1.973127854
1Q4L	OC(=O)c1cc(NC2=C(C(=O)NC2=O)c2cccc(Cl)c2)ccc1Cl	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1Q4L.pdb	1.880813592
1ZXV	OC(=O)CCN1C(=S)S\C(=C/c2ccc(o2)-c2ccc(Cl)cc2)C1=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1ZXV.pdb	3.230448921
4AYK	COc1ccc(cc1)S(=O)(=O)N(Cc1cccnc1)[C@H](C(C)C)C(=O)NO	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4AYK.pdb	3.079181246
4WF6	C[C@@H](NS(=O)(=O)c1ccc(F)c(C)c1)C(=O)NO	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4WF6.pdb	2.113943352
1YQY	Cc1cc(ccc1F)S(=O)(=O)N[C@H](C1CCOCC1)C(=O)NO	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1YQY.pdb	1.73239376
4FDH	N#Cc1ccc(cc1)C1CCCc2cncn12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4FDH.pdb	1
5VOF	Clc1ccc(s1)C(=O)NC[C@H]1CN(C(=O)O1)c1ccc(cc1)N1CCOCC1=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/5VOF.pdb	2.84509804
1LX6	CN(Cc1cc2ccccc2n1C)C(=O)c1ccc(N)c(CN(C)C(C)=O)c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1LX6.pdb	3.826074803
1LXC	CN(Cc1cc2ccccc2n1C)C(=O)\C=C\c1ccc(N)nc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1LXC.pdb	3.380211242
1MFP	CN(Cc1cn(C)c2ccccc12)C(=O)\C=C\c1cnc2NC(=O)CCc2c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1MFP.pdb	2.113943352
3OIG	CN(Cc1c(C)n(C)c2ccccc12)C(=O)\C=C\c1cnc2NC(=O)CCc2c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/3OIG.pdb	1.77815125
1I2Z	Cc1ccc(Cn2cnc(c2)-c2cccs2)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1I2Z.pdb	3.093421685
1I30	Oc1ccc(Cn2c3CN(CCc3c3ccccc23)C(=O)c2ccc(O)cc2)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1I30.pdb	2.041392685
2AOX	Nc1c2CCCCc2nc2ccccc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2AOX.pdb	2.348304863
4QOI	COc1ccc2[nH]cc(CCNC(C)=O)c2c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4QOI.pdb	2
1EVE	COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1EVE.pdb	1.278753601
1UT6	NCCCCCCCCNc1c2CCCCc2nc2ccccc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1UT6.pdb	1.951337519
5OH1	CCC1(CCC(=O)NC1=O)c1ccc(N)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/5OH1.pdb	3.447158031
2QYO	COc1ccc(cc1)-c1coc2cc(O)cc(O)c2c1=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2QYO.pdb	4.531478917
5EW3	FC(F)(F)c1cccc(NC(=O)c2ccccc2NCc2ccncc2)c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/5EW3.pdb	1.505149978
6M7X	N#Cc1ccc(cc1)[C@@H]1CCCc2cncn12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/6M7X.pdb	1.230448921
1EUP	C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C)C1CCC2=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1EUP.pdb	2.477121255
7P18	CC12CCC3C(CCC4=CC(=O)C=CC34C)C1CCC2=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/7P18.pdb	2.72427587
1XPZ	NS(=O)(=O)Oc1ccc(CN(c2ccc(cc2)C#N)n2cnnc2)cc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1XPZ.pdb	2
1XQ0	NS(=O)(=O)Oc1ccc(CN(c2ccc(cc2)C#N)n2cnnc2)cc1Br	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1XQ0.pdb	-0.086186148
3DEH	O=C1NC(=O)c2ccccc2C1=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/3DEH.pdb	2.173186268
3DEI	CC(=O)OC(C(=O)Nc1cccc2C(=O)NC(=O)C(=O)c12)c1ccccc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/3DEI.pdb	1.602059991
6TSE	CN1C(=O)C(=O)c2ccccc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/6TSE.pdb	4.698970004
1GFW	CN1C(=O)C(=O)c2cc(ccc12)S(=O)(=O)N1CCC[C@H]1COc1ccccc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1GFW.pdb	1.477121255
1W76	COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1W76.pdb	2.621176282
1GPK	C\C=C1/C2Cc3[nH]c(=O)ccc3C1(N)CC(C)=C2	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1GPK.pdb	2.617000341
3Q1M	Cc1cc(N)c2ccccc2n1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/3Q1M.pdb	4.195899652
4JQJ	Nc1ccnc2ccccc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/4JQJ.pdb	4.705007959
1AEG	Nc1ccncc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1AEG.pdb	5.698970004
1HBJ	Cc1nc2cccc(F)c2c(N)c1CSCc1cccc(c1)C(O)(O)C(F)(F)F	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1HBJ.pdb	4.041392685
5IJ6	OC(=O)CCCCC1CCSS1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/5IJ6.pdb	6
1RE1	OC(=O)C[C@H](NC(=O)c1cncc(Br)c1)C=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1RE1.pdb	3.77815125
1RHM	OC(=O)C[C@H](NC(=O)c1cncc(c1)-c1ccc(cc1)C(O)=O)C=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1RHM.pdb	3.239299479
1S3E	Oc1ccc2CCC(NCC#C)c2c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1S3E.pdb	2.826074803
1S3E	Oc1ccc2CC[C@@H](NCC#C)c2c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1S3E.pdb	2.477121255
7O9Y	Nc1nccc(n1)-c1c[nH]c2ccccc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/7O9Y.pdb	5.176091259
3TVX	CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/3TVX.pdb	5.100370545
1YGJ	CC[C@H](CO)Nc1nc(N(C)Cc2ccccc2)c2ncn(C(C)C)c2n1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1YGJ.pdb	4.653212514
1YHJ	CC[C@H](CO)Nc1nc(OCc2ccccc2)c2ncn(C(C)C)c2n1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1YHJ.pdb	5
1GPN	CC1=CC2Cc3[nH]c(=O)ccc3[C@]3(C1)NCCC[C@H]23	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1GPN.pdb	4.285557309
1X70	N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1X70.pdb	1.255272505
2GZ7	Cc1cc(c(Cl)cc1Cl)S(=O)(=O)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2GZ7.pdb	2.477121255
