Drug_ID	Drug
drg_8459	CC(=O)Nc1ccc(cc1N)C(O)=O
drg_8646	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
drg_8724	Nc1nc(OCC2CCCCC2)c2[nH]cnc2n1
drg_8739	Nc1nc(OCc2ccccc2)c2[nH]cnc2n1
drg_8817	C(Oc1nc(Nc2ccccc2)nc2nc[nH]c12)C1CCCCC1
drg_8818	Clc1cccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)c1
drg_8837	Oc1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1
drg_8840	NS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1
drg_8855	NS(=O)(=O)c1cccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)c1
drg_8856	NC(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1
drg_8896	Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1
drg_9033	NCC1CCN(CC(=O)Nc2cccc3-c4n[nH]c(C5CCCCC5)c4C(=O)c23)CC1
drg_9075	CN1CC[C@@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl
drg_9180	Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc12
drg_9456	CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(o2)-c2cccc(c2)-c2ccccn2)c1
drg_9513	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1
drg_9634	CCc1nn(-c2c(Cl)cc(Cl)cc2Cl)c2nc(Cc3ccc(O)c(O)c3)[nH]c(=O)c12
drg_9707	CN1CCN(CC1)NC(=O)Nc1cccc2-c3n[nH]c(-c4sc(C)nc4C)c3C(=O)c12
drg_10208	CC(=O)c1c(C)c2cnc(Nc3ccc(cn3)N3CCNCC3)nc2n(C2CCCC2)c1=O
drg_10832	O=C(Nc1ccccn1)Nc1cccc2C(=O)N3CCC[C@@H]3c12
drg_10861	O=C(Nc1cc(n[nH]1)[C@@H]1CCCN1)Nc1cccc2C(=O)N3CCC[C@H]3c12
drg_10910	NS(=O)(=O)c1ccc(Nc2cn3cc(ccc3n2)C(=O)c2c(Cl)cccc2Cl)cc1
drg_10917	Nc1nc2ccc(cn2c1C(=O)c1ccccc1)C(=O)c1c(F)cccc1F
drg_11104	COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13
drg_11107	O=C1NC(=O)c2c1c1c3ccccc3n3C4CCC(O4)n4c5ccccc5c2c4c13
drg_11866	O=C(Cc1ccc2ccccc2c1)Nc1cc(n[nH]1)C1CC1
drg_11872	CC(C(=O)Nc1cc(n[nH]1)C1CC1)c1ccc(cc1)-n1cc[nH]c1=O
drg_11885	O=C(Nc1cc(n[nH]1)C1CC1)c1ccccc1
drg_11915	FC(F)(F)Oc1ccc(CC(=O)Nc2cc(n[nH]2)C2CC2)cc1
drg_11921	O=C(Cc1ccc(cc1)-c1cccs1)Nc1cc(n[nH]1)C1CC1
drg_12000	COc1ccc2NC(=O)C(=Cc3cnc[nH]3)c2c1
drg_12069	[O-][N+](=O)c1ccc2[nH]c-3c(CC(=O)Nc4ccccc-34)c2c1
drg_12341	CCCCc1c([nH]c2nccnc12)-c1ccc(O)cc1
drg_12451	O=C1Nc2ccccc2\C1=C1\Nc2ccccc2C1=O
drg_12452	O=Nc1c([nH]c2ccccc12)C1C(=O)Nc2ccccc12
drg_12460	Brc1ccc2C(C(=O)Nc2c1)c1[nH]c2ccccc2c1N=O
drg_12607	Oc1ccc2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O
drg_12608	Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1
drg_12609	Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1
drg_12611	Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccccc1
drg_12612	Oc1ccc(cc1)-c1oc2cc(O)cc(O)c2c(=O)c1O
drg_12628	OC(C1CCCN1S(=O)(=O)CCCn1ccc(=O)[nH]c1=O)(c1ccccc1)c1ccccc1
drg_12659	CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(O)=O)c(Cl)c2)c2ncn(C(C)C)c2n1
drg_12764	CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
drg_12765	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
drg_12844	CN(C)CC(O)COc1ccc(Nc2cc(Nc3c(F)cccc3F)ncn2)cc1
drg_12845	CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(ccc3F)C(F)(F)F)ncn2)cc1
drg_12888	CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1
drg_12907	CN(C)CC(O)COc1ccc(Nc2ncc(Br)c(Nc3ccccc3)n2)cc1
drg_12943	CC(=O)Nc1nccc(n1)-c1c(C)nc2ccccn12
drg_12947	CN(C)CC(O)COc1ccc(Nc2nccc(n2)-c2c(C)nc3ccccn23)cc1
drg_12967	NS(=O)(=O)c1ccc(Nc2nccc(n2)-c2cnc3ccccn23)cc1
drg_12995	NS(=O)(=O)c1ccc(NN=C2C(=O)Nc3ccc(Br)cc23)cc1
drg_13070	O=C1Nc2ccc3ncsc3c2C1C=Nc1ccc(cc1)S(=O)(=O)Nc1ccccn1
drg_13077	CNS(=O)(=O)c1ccc(cc1)N=CC1C(=O)Nc2ccccc12
drg_13079	O=C1Nc2ccccc2C1C=Nc1ccc(cc1)S(=O)(=O)Nc1nccs1
drg_13084	CNS(=O)(=O)Cc1ccc(NN=C2C(=O)Nc3ccc4ncsc4c23)cc1
drg_13088	O=C1Nc2ccc(cc2C1C=Nc1ccc2CS(=O)(=O)Cc2c1)-c1cnco1
drg_13794	CN(c1ccccc1)c1nccc(n1)-c1cnn2ncccc12
drg_13824	CCOc1ccc2c(cnn2n1)-c1ccnc(Nc2cc(OC)cc(c2)C(F)(F)F)n1
drg_14036	Oc1ccc(NC2=C(C(=O)NC2=O)c2cccc(Cl)c2)cc1Cl
drg_14059	OC(=O)c1cc(NC2=C(C(=O)NC2=O)c2cccc(Cl)c2)ccc1Cl
drg_14278	OC(=O)CCN1C(=S)S\C(=C/c2ccc(o2)-c2ccc(Cl)cc2)C1=O
drg_14308	COc1ccc(cc1)S(=O)(=O)N(Cc1cccnc1)[C@H](C(C)C)C(=O)NO
drg_14337	C[C@@H](NS(=O)(=O)c1ccc(F)c(C)c1)C(=O)NO
drg_14346	Cc1cc(ccc1F)S(=O)(=O)N[C@H](C1CCOCC1)C(=O)NO
drg_14532	N#Cc1ccc(cc1)C1CCCc2cncn12
drg_14595	Clc1ccc(s1)C(=O)NC[C@H]1CN(C(=O)O1)c1ccc(cc1)N1CCOCC1=O
drg_14697	CN(Cc1cc2ccccc2n1C)C(=O)c1ccc(N)c(CN(C)C(C)=O)c1
drg_14701	CN(Cc1cc2ccccc2n1C)C(=O)\C=C\c1ccc(N)nc1
drg_14728	CN(Cc1cn(C)c2ccccc12)C(=O)\C=C\c1cnc2NC(=O)CCc2c1
drg_14730	CN(Cc1c(C)n(C)c2ccccc12)C(=O)\C=C\c1cnc2NC(=O)CCc2c1
drg_14753	Cc1ccc(Cn2cnc(c2)-c2cccs2)cc1
drg_14802	Oc1ccc(Cn2c3CN(CCc3c3ccccc23)C(=O)c2ccc(O)cc2)cc1
drg_15341	Nc1c2CCCCc2nc2ccccc12
drg_15385	COc1ccc2[nH]cc(CCNC(C)=O)c2c1
drg_15518	COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC
drg_15963	NCCCCCCCCNc1c2CCCCc2nc2ccccc12
drg_16018	CCC1(CCC(=O)NC1=O)c1ccc(N)cc1
drg_16019	COc1ccc(cc1)-c1coc2cc(O)cc(O)c2c1=O
drg_16085	FC(F)(F)c1cccc(NC(=O)c2ccccc2NCc2ccncc2)c1
drg_16581	N#Cc1ccc(cc1)[C@@H]1CCCc2cncn12
drg_16624	C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C)C1CCC2=O
drg_16625	CC12CCC3C(CCC4=CC(=O)C=CC34C)C1CCC2=O
drg_16688	NS(=O)(=O)Oc1ccc(CN(c2ccc(cc2)C#N)n2cnnc2)cc1
drg_16691	NS(=O)(=O)Oc1ccc(CN(c2ccc(cc2)C#N)n2cnnc2)cc1Br
drg_16975	O=C1NC(=O)c2ccccc2C1=O
drg_16992	CC(=O)OC(C(=O)Nc1cccc2C(=O)NC(=O)C(=O)c12)c1ccccc1
drg_17060	CN1C(=O)C(=O)c2ccccc12
drg_17076	CN1C(=O)C(=O)c2cc(ccc12)S(=O)(=O)N1CCC[C@H]1COc1ccccc1
drg_17331	COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24
drg_17375	C\C=C1/C2Cc3[nH]c(=O)ccc3C1(N)CC(C)=C2
drg_17380	Cc1cc(N)c2ccccc2n1
drg_17387	Nc1ccnc2ccccc12
drg_17395	Nc1ccncc1
drg_17490	Cc1nc2cccc(F)c2c(N)c1CSCc1cccc(c1)C(O)(O)C(F)(F)F
drg_17502	OC(=O)CCCCC1CCSS1
drg_17663	OC(=O)C[C@H](NC(=O)c1cncc(Br)c1)C=O
drg_17845	OC(=O)C[C@H](NC(=O)c1cncc(c1)-c1ccc(cc1)C(O)=O)C=O
drg_18194	Oc1ccc2CCC(NCC#C)c2c1
drg_18195	Oc1ccc2CC[C@@H](NCC#C)c2c1
drg_18322	Nc1nccc(n1)-c1c[nH]c2ccccc12
drg_18372	CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O
drg_18559	CC[C@H](CO)Nc1nc(N(C)Cc2ccccc2)c2ncn(C(C)C)c2n1
drg_18560	CC[C@H](CO)Nc1nc(OCc2ccccc2)c2ncn(C(C)C)c2n1
drg_18618	CC1=CC2Cc3[nH]c(=O)ccc3[C@]3(C1)NCCC[C@H]23
drg_19185	N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F
drg_19537	Cc1cc(c(Cl)cc1Cl)S(=O)(=O)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
drg_19549	FC(F)(F)c1nnc(SC(=O)c2ccc(o2)C#Cc2ccccc2)[nH]1
drg_19564	OC(=O)Cc1c2ccccc2n2c1[nH]c(=O)c1ccccc21
drg_19566	NCCNc1cc(ccn1)-c1ccnc(Nc2cccc(Cl)c2)n1
drg_19568	Brc1c(Br)c(Br)c2[nH]nnc2c1Br
drg_19569	Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1
drg_19765	NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(c3cccc(O)c3)S(=O)(=O)c2s1
drg_19766	COc1cccc(c1)N1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O
drg_19768	CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O
drg_19828	CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(N)(=O)=O
drg_19859	CC(C)c1cnn2c(Nc3ccc(cc3)S(=O)(=O)N(C)C)cc(N[C@H]3CC[C@H](N)CC3)nc12
drg_19873	CS(=O)(=O)c1ccc(Nc2cc(Cl)nc3ccnn23)cc1
drg_19875	Brc1cccc(c1)-c1cc(NCc2ccncc2)n2nccc2n1
drg_19893	COc1ccc(cc1Nc1ncc(o1)-c1cccc(c1)-c1cccnc1)S(=O)(=O)NCC1CC1
drg_20150	NS(=O)(=O)c1ccc(Nc2cc(OCC3CCCCC3)nc3ncnn23)cc1
drg_20151	NS(=O)(=O)c1ccc(Nc2cc(OC3CCCCC3)nc3ncnn23)cc1
drg_20152	NS(=O)(=O)c1ccc(Nc2cc(NC3CCCCC3)nc3ncnn23)cc1
drg_20173	Brc1cccc(c1)-c1cc(NCc2ccncc2)[n+]2[nH]cnc2n1
drg_20177	N[C@H]1CC[C@@H](CC1)Nc1nc(NCc2ccccc2)c2ncn(C3CCCC3)c2n1
drg_20555	NCC1(CCCC1)c1ccccc1
drg_20558	N[C@@H](CC(=O)N1Cc2ccccc2C[C@H]1C(N)=O)Cc1ccccc1F
drg_20559	N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)c1ccccc1)Cc1ccccc1F
drg_20596	COc1cc(OC)cc(c1)-c1nc(N)c(CN)c(n1)-c1ccc(Cl)cc1Cl
drg_20814	C[C@@H]([C@H](N)C(=O)N1CCCC1)c1nc(no1)-c1ccc(cc1)S(C)(=O)=O
drg_20950	CCc1ccccc1NC(=O)Oc1ccc2N(C)[C@@H]3[C@@](C)(CC[N+]3(C)[O-])c2c1
drg_21153	COc1ccc(O)c(C(=O)c2ccc(CO[C@@H]3CCCNC[C@H]3NC(=O)c3ccncc3)cc2)c1F
drg_21156	COc1ccc(O)c(C(=O)c2ccc(\C=C\[C@@H]3CCCNC[C@H]3NC(=O)c3ccncc3)cc2)c1F
drg_21755	CCCc1c(OC2CCCCC2)c2cc(Cl)ccc2[nH]c1=O
drg_21758	CCCc1c(S(=O)C2CCCCC2)c2cc(Cl)ccc2[nH]c1=O
drg_21857	OCc1[nH]nnc1-c1ccc2c(n[nH]c2c1)-c1cc2cc(CN3CCCCC3)ccc2[nH]1
drg_22605	Clc1ccc(cc1)-n1cnnn1
drg_22606	NCc1cccc(Cl)c1
drg_22607	N[C@@H](Cc1ccccc1)[C@H](O)CNS(=O)(=O)c1ccc2ccccc2c1
drg_22608	COc1cc(C)c(c(C)c1C)S(=O)(=O)NC[C@@H](O)[C@@H](N)Cc1ccccc1
drg_22612	Nc1ccc2cc3ccc(N)cc3nc2c1
drg_23211	O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCOCC1
drg_23542	NS(=O)(=O)Oc1ccc2c3CCCCCc3c(=O)oc2c1
drg_23549	Cc1onc(c1-c1ccc(cc1)S(N)(=O)=O)-c1ccccc1
drg_23550	Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F
drg_23553	OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
drg_23574	Cn1sc(=O)c2cc(ccc12)S(N)(=O)=O
drg_23575	NS(=O)(=O)c1ccc(N2CCCC2=O)c(c1)[N+]([O-])=O
drg_23722	Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1
drg_23909	CS(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccc(F)cc1)-c1ccncc1
drg_23910	Nc1ncccc1OCc1ccccc1
drg_23913	Nc1ncccc1OCc1cccc2ccccc12
drg_23917	Fc1cc(cc(c1)C(=O)Nc1ccc(Cl)c(COc2cccnc2)c1)N1CCOCC1
drg_23918	CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)c(COc3cccnc3)c2)[nH]n1
drg_23919	C(Cc1ccncc1)c1c[nH]c2ccccc12
drg_23920	C(Cc1ccncn1)c1c[nH]c2ccccc12
drg_23923	Fc1cc(cc(c1)C(=O)Nc1ccc2[nH]ccc2c1)N1CCOCC1
drg_23924	Fc1cc(cc(c1)C(=O)Nc1ccc2[nH]cc(CCc3ccncc3)c2c1)N1CCOCC1
drg_23926	Fc1cc(cc(c1)C(=O)Nc1ccc2ccn(CCc3ccncc3)c2c1)N1CCOCC1
drg_24066	CNC(=O)[C@@H]1Cc2ccc(NS(O)(=O)=O)cc2CN1C(=O)OC(C)(C)C
drg_24152	C[C@H]1N(CCCNC1=O)C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F
drg_24158	N[C@@H](CC(=O)N1CCCNC(=O)[C@H]1CC(F)(F)F)Cc1cc(F)c(F)cc1F
drg_24677	COc1ccc(OC(C)(C)C(=O)N[C@H]2C3C[C@@H]4C[C@@H]2C[C@](C4)(C3)C(N)=O)cc1
drg_24802	Oc1cccc(c1)C1=CC(=O)NS1(=O)=O
drg_25195	O=C1[C@@H]2CCN1c1cccc3ccc(Oc4cc(Cn5cncc5CN2)ccc4C#N)cc13
drg_25196	O=C1[C@H]2CCN1c1cccc3ccc(Oc4cc(Cn5cncc5CN2)ccc4C#N)cc13
drg_25200	O=C1[C@@H]2CCN1c1cccc3ccc(Oc4cc(Cn5cncc5CCN2)ccc4C#N)cc13
drg_25242	O=S(=O)(N1CCCNCC1)c1cccc2cnccc12
drg_25243	C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(C)c12
drg_25244	C[C@@H](N)[C@H]1CC[C@@H](CC1)C(=O)Nc1ccncc1
drg_25787	CN1CCN(CC1)c1cc(Nc2cc(C)n[nH]2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1
drg_25935	COc1nc(nc(C)c1F)N1C[C@H]2C(=O)N(C)C(=N)N[C@]2(C1)c1ccc(F)cc1F
drg_26289	CCCCOc1ncc(cc1-c1nc2c(CC)n(nc2c(=O)[nH]1)C1CN(CC)C1)C(C)=O
drg_26483	C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cc(I)c2c(N)ncnc12
drg_26484	CN(C)c1ccc(cc1)-c1c(N)ncnc1C#Cc1ccc(nc1)N1CCOCC1
drg_26765	COc1cc(ccc1O)-c1ccc2\C(=C\c3ccc[nH]3)C(=O)Nc2c1
drg_26791	OP(O)(=O)Oc1ccccc1
drg_26792	OC(=O)C(C(O)=O)c1ccccc1
drg_26793	OC(=O)C(c1ccccc1)S(O)(=O)=O
drg_26794	OP(O)(=O)C(c1ccccc1)P(O)(O)=O
drg_26795	COc1cccc(C=O)c1OP(O)(O)=O
drg_26796	OP(O)(=O)Oc1ccccc1C=O
drg_26797	Cc1cc(C=O)c(OP(O)(O)=O)c(C=O)c1
drg_26798	OP(O)(=O)Oc1cccc2CCCNc12
drg_26799	OP(O)(O)C(=O)c1cccc2ccccc12
drg_26800	OP(O)(=O)Oc1cccc2ccc(nc12)C#N
drg_26801	OP(=O)(OCC1CCCCC1)Oc1ccccc1C=O
drg_26803	CCc1ccc(NC(=O)P(O)(O)=O)cc1
drg_26804	OP(=O)(OCc1ccccc1)Oc1ccccc1C=O
drg_26826	Cc1c(cccc1[N+]([O-])=O)C(=O)Nc1cc(Cl)cc(Cl)c1
drg_26827	CC(=O)C(C#N)C(=O)Nc1ccc(cc1)C(F)(F)F
drg_26852	COc1cc(OC)c(NC(=O)Nc2cnc(cn2)C#N)cc1Cl
drg_27033	COc1cc(ccc1OC(F)F)-c1ccc(=O)[nH]n1
drg_27034	COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1
drg_27035	COc1ccc(cc1OC1CCCC1)C(C)=NOC(N)=O
drg_27036	CCCOc1cc(ccc1OC)C1(C)CNC(=O)O1
drg_27037	COc1ccc(cc1OC1CCCC1)C1(CCC(CC1)C(O)=O)C#N
drg_27039	COc1ccc(cc1OC1CCCC1)C(=O)Nc1c(Cl)cncc1Cl
drg_27042	CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c2ccc3OCOc3c2)C1=O
drg_27143	Cc1n[nH]c(C)c1C(O)=O
drg_27144	CCOC(=O)c1c(C)n[nH]c1C
drg_27147	CCOC(=O)c1cn[nH]c1C(F)(F)F
drg_27150	CCOC(=O)c1c(C)nn(c1C)-c1ccccc1
drg_27159	CCOC(=O)c1c(C)nn(c1C)-c1ccc(OC)cc1
drg_27161	CCOC(=O)c1c(C)nn(c1C)-c1ccc(N)cc1
drg_27162	CCOC(=O)c1c(C)nn(c1C)-c1ccccc1Cl
drg_27163	CCOC(=O)c1c(C)nn(c1C)-c1cccc(c1)[N+]([O-])=O
drg_27185	COc1ccc(cc1)-c1oc2ncnc(NCCO)c2c1-c1ccc(OC)cc1
drg_27186	OCCNc1ncnc2oc(c(-c3ccccc3)c12)-c1ccccc1
drg_27187	CN(CCO)c1ncnc2oc(c(-c3ccccc3)c12)-c1ccccc1
drg_27188	OC(=O)CNc1ncnc2oc(c(-c3ccccc3)c12)-c1ccccc1
drg_27189	OCCNc1ncnc2[nH]c(c(-c3ccccc3)c12)-c1ccccc1
drg_27190	CC(O)CNc1ncnc2[nH]c(c(-c3ccccc3)c12)-c1ccccc1
drg_27191	OCC(O)CNc1ncnc2[nH]c(c(-c3ccccc3)c12)-c1ccccc1
drg_27218	OC(=O)COc1ccc-2c(c1)C(N=O)c1cc(OCC(O)=O)ccc-21
drg_27221	NC[C@H](O)CNc1ccc([N+]([O-])=O)c2cccnc12
drg_27527	COc1cc(Nc2ncnc(n2)-c2cccnc2Nc2ccccc2)cc(OC)c1OC
drg_27534	N[C@H](COc1cncc(\C=C\c2ccncc2)c1)Cc1c[nH]c2ccccc12
drg_27589	N[C@H](COc1cncc2nc(ccc12)-c1ccncc1)Cc1c[nH]c2ccccc12
drg_27590	N[C@H](COc1cncc(c1)-c1ccc2cnccc2c1)Cc1c[nH]c2ccccc12
drg_27820	O=S(=O)(NC1CCNC1)c1cccc2cnccc12
drg_27822	CNCCNS(=O)(=O)c1cccc2cnccc12
drg_27823	Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1
drg_27828	Clc1ccc(CO[C@H]2CN[C@H](CNS(=O)(=O)c3cccc4cnccc34)C2)cc1
drg_27842	Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)c1
drg_27900	COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C([C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O)C3=O
drg_27906	Fc1ccc(cc1)-c1ncn(CC2CC2)c1-c1ccncc1
drg_27907	Nc1nccc(n1)-c1c(ncn1CC1CC1)-c1ccc(F)cc1
drg_27908	Nc1nccc(n1)-c1c(ncn1C1CCNCC1)-c1ccc(F)cc1
drg_27934	COc1ccc(Cl)cc1NC(=O)Nc1cncc(OC(C)CN(C)C)n1
drg_27935	Clc1ccc2OCCCCCOc3cncc(NC(=O)Nc2c1)n3
drg_27984	Cc1[nH]c(=O)c(cc1-c1ccncc1)C#N
drg_28064	CC(C)Cn1c2nc[nH]c2c(=O)n(C)c1=O
drg_28079	COc1cccc(c1)-c1ccc(NC(=O)c2ccsc2C(O)=O)c(F)c1
drg_28134	C[C@@H]1C[C@H]2O[C@@H]2C=CC=CC(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1
drg_28135	CCc1cc(-c2n[nH]c(C)c2-c2ccc3OCCOc3c2)c(O)cc1O
drg_28138	COc1ccc(cc1)-c1c(C)[nH]nc1-c1ccc(O)cc1O
drg_28145	CCNC(=O)c1[nH]nc(c1-c1ccc(OC)cc1)-c1cc(Cl)c(O)cc1O
drg_28147	CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2)nc2c(N)ncnc12
drg_28148	CCCCn1c(Cc2ccc(OC)cc2)nc2c(N)ncnc12
drg_28149	CCCCn1c(Cc2cccc(OC)c2)nc2c(N)ncnc12
drg_28150	CCCCn1c(Cc2ccc3OCOc3c2)nc2c(N)ncnc12
